tool_id,casco_facility,supplier,part_number,part_description,tool_owner,active_flag,sop_date,cavity_number,active_cavity_number,related_cost,injection_system_type,nature_transfer_or_first_supplier,shots_before_transfer,tool_origin,transfer_date,yearly_volume,oem,warranty_shots,shared_tool_flag
T10164,CASCO-B,SupplierQ,PN-1997,Clip,CASCO,Active,2021-04-15,5,4,150404,ValveGate,1st Supplier,0,CN,,319856,OEM1,339515,N
T10165,CASCO-C,SupplierX,PN-9310,Bracket,CASCO,Active,2023-06-17,6,5,198117,ValveGate,1st Supplier,0,EU,,80888,OEM1,1790849,N
T10166,CASCO-B,SupplierW,PN-6477,Cover,Supplier,Active,2020-10-04,5,4,162377,ValveGate,1st Supplier,0,CN,,32724,OEM2,2432481,Y
T10167,CASCO-B,SupplierQ,PN-9110,Bracket,Supplier,Active,2019-11-30,7,5,115212,HotRunner,1st Supplier,0,CN,,251160,OEM2,568031,Y
T10168,CASCO-A,SupplierW,PN-9630,Housing,OEM,Active,2020-10-30,8,8,216632,HotRunner,1st Supplier,0,EU,,598959,OEM3,952377,N
T10169,CASCO-C,SupplierW,PN-2684,Cover,CASCO,Active,2019-02-15,2,1,124301,ValveGate,Transfert,421147,EU,2020-08-27,552055,OEM3,1413925,N
T10170,CASCO-A,SupplierY,PN-4618,Bracket,CASCO,Active,2019-08-01,8,6,237984,HotRunner,1st Supplier,0,EU,,384808,OEM3,2340505,Y
T10171,CASCO-B,SupplierQ,PN-2732,Cover,OEM,Active,2019-06-30,5,4,248728,ColdRunner,1st Supplier,0,CN,,385882,OEM1,1827377,N
T10172,CASCO-B,SupplierZ,PN-1458,Panel,OEM,Active,2023-03-24,6,5,151365,ColdRunner,1st Supplier,0,CN,,247072,OEM1,1985613,N
T10173,CASCO-B,SupplierX,PN-9696,Housing,CASCO,Active,2022-12-15,1,1,171903,HotRunner,1st Supplier,0,CN,,122953,OEM3,1578456,N
T10174,CASCO-A,SupplierY,PN-9308,Panel,CASCO,Active,2022-10-25,5,5,71359,ColdRunner,1st Supplier,0,CN,,24957,OEM2,1217478,Y
T10175,CASCO-B,SupplierY,PN-9384,Panel,CASCO,Active,2021-07-12,6,4,205513,ValveGate,1st Supplier,0,CN,,216536,OEM3,739506,N
T10176,CASCO-B,SupplierZ,PN-8952,Panel,OEM,Active,2022-12-05,5,4,171182,ColdRunner,1st Supplier,0,CN,,203551,OEM2,2201491,Y
T10177,CASCO-A,SupplierY,PN-6838,Cover,CASCO,Active,2019-11-19,1,1,226612,HotRunner,1st Supplier,0,CN,,131129,OEM1,2069073,N
T10178,CASCO-A,SupplierZ,PN-5698,Panel,CASCO,Active,2023-12-07,5,4,74081,ValveGate,1st Supplier,0,EU,,170316,OEM2,355222,N
T10179,CASCO-C,SupplierZ,PN-9922,Panel,CASCO,Active,2021-09-29,8,7,199021,ColdRunner,1st Supplier,0,CN,,34397,OEM3,1873895,N
T10180,CASCO-A,SupplierY,PN-5969,Panel,CASCO,Active,2024-02-20,6,5,122866,ColdRunner,1st Supplier,0,EU,,372616,OEM2,485653,N
T10181,CASCO-A,SupplierW,PN-6781,Cover,CASCO,Active,2019-11-01,2,1,54443,ValveGate,1st Supplier,0,EU,,557927,OEM1,1925764,N
T10182,CASCO-B,SupplierY,PN-2905,Cover,CASCO,Active,2021-09-21,8,8,51087,ColdRunner,Transfert,105568,CN,2022-07-28,420663,OEM1,2117098,N
T10183,CASCO-A,SupplierW,PN-7719,Housing,OEM,Active,2022-10-24,8,7,144920,HotRunner,Transfert,518942,CN,2023-01-15,279960,OEM3,588327,N
T10184,CASCO-B,SupplierY,PN-8374,Panel,CASCO,Active,2021-09-18,2,1,86667,HotRunner,1st Supplier,0,CN,,263755,OEM3,1254438,N
T10185,CASCO-A,SupplierQ,PN-7106,Panel,CASCO,Active,2021-06-11,7,5,34454,HotRunner,1st Supplier,0,EU,,198370,OEM3,572258,Y
T10186,CASCO-B,SupplierY,PN-5486,Housing,CASCO,Active,2019-11-29,4,4,112515,ColdRunner,1st Supplier,0,CN,,102595,OEM1,1548020,N
T10187,CASCO-C,SupplierX,PN-2780,Bracket,CASCO,Inactive,2021-02-01,5,5,166701,ColdRunner,1st Supplier,0,CN,,367116,OEM2,2340637,Y
T10188,CASCO-B,SupplierX,PN-1304,Housing,CASCO,Active,2020-04-22,4,3,86547,ColdRunner,1st Supplier,0,EU,,348583,OEM3,477913,N
T10189,CASCO-C,SupplierQ,PN-6645,Clip,CASCO,Active,2020-08-26,7,6,239283,HotRunner,1st Supplier,0,EU,,24242,OEM2,1174672,Y
T10190,CASCO-C,SupplierQ,PN-7146,Housing,CASCO,Active,2022-09-29,8,6,197091,ColdRunner,1st Supplier,0,CN,,261002,OEM2,2440865,N
T10191,CASCO-A,SupplierY,PN-7952,Cover,OEM,Active,2022-06-14,7,6,133055,ValveGate,1st Supplier,0,CN,,181252,OEM2,962087,N
T10192,CASCO-B,SupplierW,PN-9553,Cover,CASCO,Active,2022-04-29,8,6,234316,HotRunner,1st Supplier,0,CN,,118763,OEM1,590876,Y
T10193,CASCO-A,SupplierZ,PN-5475,Bracket,CASCO,Inactive,2020-12-24,8,7,113913,ColdRunner,1st Supplier,0,CN,,427759,OEM1,1374884,N
T10194,CASCO-B,SupplierX,PN-8461,Cover,CASCO,Active,2024-04-03,1,1,43520,ColdRunner,Transfert,360502,CN,2025-10-13,324979,OEM3,1418419,N
T10195,CASCO-A,SupplierZ,PN-7445,Clip,OEM,Active,2019-06-25,3,3,18602,ColdRunner,Transfert,322030,EU,2021-02-10,387586,OEM1,1758301,Y
T10196,CASCO-C,SupplierW,PN-3494,Cover,CASCO,Active,2020-11-16,6,4,235125,HotRunner,1st Supplier,0,EU,,433819,OEM1,990222,N
T10197,CASCO-A,SupplierQ,PN-8605,Panel,OEM,Active,2019-08-25,5,5,240345,ColdRunner,Transfert,118165,CN,2020-06-03,589447,OEM2,2402371,N
T10198,CASCO-B,SupplierQ,PN-1479,Bracket,Supplier,Active,2020-11-08,1,1,187420,ValveGate,1st Supplier,0,EU,,485602,OEM3,1446250,N
T10199,CASCO-A,SupplierX,PN-6389,Housing,CASCO,Active,2024-04-07,1,1,34720,ColdRunner,Transfert,181156,CN,2025-07-19,379807,OEM2,930181,N
T10200,CASCO-C,SupplierY,PN-9462,Housing,CASCO,Active,2021-01-02,5,5,80476,ValveGate,Transfert,423147,EU,2021-02-21,529832,OEM2,2412625,N
T10201,CASCO-C,SupplierZ,PN-6930,Panel,OEM,Active,2023-12-23,5,5,19858,ValveGate,1st Supplier,0,EU,,296953,OEM2,2334578,Y
T10202,CASCO-C,SupplierX,PN-9432,Panel,CASCO,Active,2021-09-17,2,1,22299,HotRunner,Transfert,239191,EU,2021-12-09,591164,OEM1,1398162,Y
T10203,CASCO-B,SupplierZ,PN-1505,Housing,CASCO,Active,2022-10-31,2,1,69055,ColdRunner,Transfert,121913,EU,2023-05-06,461630,OEM1,354690,Y
T10204,CASCO-A,SupplierX,PN-5791,Clip,CASCO,Active,2021-07-03,2,1,147314,ColdRunner,Transfert,213168,CN,2022-08-11,397512,OEM1,1613259,N
T10205,CASCO-C,SupplierX,PN-8024,Clip,CASCO,Active,2020-06-15,5,4,25727,ValveGate,Transfert,493819,CN,2020-09-29,543930,OEM3,1521435,N
T10206,CASCO-B,SupplierX,PN-6780,Housing,CASCO,Active,2023-03-09,1,1,246304,HotRunner,1st Supplier,0,CN,,318745,OEM3,626058,N
T10207,CASCO-C,SupplierY,PN-8923,Bracket,CASCO,Active,2024-04-22,5,4,119228,HotRunner,1st Supplier,0,CN,,438003,OEM1,1694745,N
T10208,CASCO-C,SupplierW,PN-5162,Housing,CASCO,Active,2020-06-11,4,2,73322,ValveGate,Transfert,174471,EU,2020-07-30,185143,OEM1,2149745,N
T10209,CASCO-B,SupplierX,PN-7142,Cover,CASCO,Active,2023-04-07,4,3,133861,HotRunner,1st Supplier,0,CN,,578662,OEM1,532974,N
T10210,CASCO-C,SupplierQ,PN-4777,Housing,CASCO,Active,2020-06-06,6,6,199637,ColdRunner,1st Supplier,0,EU,,381553,OEM3,1891309,N
T10211,CASCO-C,SupplierY,PN-8848,Clip,Supplier,Active,2022-12-04,5,4,85016,HotRunner,1st Supplier,0,CN,,473562,OEM2,608747,N
T10212,CASCO-B,SupplierX,PN-2074,Cover,CASCO,Active,2023-04-28,6,4,21403,ValveGate,1st Supplier,0,CN,,287227,OEM3,1947417,Y
T10213,CASCO-A,SupplierY,PN-3286,Cover,CASCO,Active,2021-06-17,7,7,22230,ValveGate,1st Supplier,0,CN,,522744,OEM2,1222051,Y
T10214,CASCO-A,SupplierW,PN-1870,Panel,CASCO,Active,2023-01-13,8,6,214476,HotRunner,1st Supplier,0,EU,,63023,OEM3,314324,N
T10215,CASCO-B,SupplierX,PN-7318,Cover,CASCO,Active,2020-06-28,7,6,36784,ColdRunner,1st Supplier,0,EU,,86180,OEM2,2425710,N
T10216,CASCO-B,SupplierX,PN-3094,Bracket,CASCO,Active,2019-06-08,5,4,162535,HotRunner,1st Supplier,0,CN,,314127,OEM1,665134,N
T10217,CASCO-A,SupplierQ,PN-3853,Clip,CASCO,Active,2019-07-12,4,4,102281,ColdRunner,Transfert,237846,CN,2020-08-26,444799,OEM3,1611293,Y
T10218,CASCO-A,SupplierZ,PN-8528,Clip,CASCO,Active,2021-06-13,2,1,196604,ColdRunner,1st Supplier,0,EU,,489347,OEM3,699230,N
T10219,CASCO-C,SupplierY,PN-4241,Panel,CASCO,Active,2023-12-11,5,5,24526,ValveGate,1st Supplier,0,CN,,275251,OEM3,2352651,Y
T10220,CASCO-C,SupplierW,PN-2312,Clip,CASCO,Active,2019-09-13,2,2,225470,HotRunner,1st Supplier,0,EU,,396810,OEM3,1924316,N
T10221,CASCO-A,SupplierQ,PN-1188,Panel,CASCO,Active,2021-06-30,8,7,177565,HotRunner,Transfert,335541,CN,2022-10-12,340800,OEM1,2069594,Y
T10222,CASCO-B,SupplierY,PN-3040,Housing,CASCO,Active,2022-11-09,7,6,117826,ColdRunner,1st Supplier,0,CN,,577683,OEM1,1250575,Y
T10223,CASCO-A,SupplierZ,PN-9231,Cover,CASCO,Active,2020-02-09,1,1,59684,ColdRunner,1st Supplier,0,CN,,399379,OEM2,1328239,N
T10224,CASCO-C,SupplierX,PN-5936,Panel,CASCO,Active,2022-12-14,7,7,244514,ColdRunner,1st Supplier,0,CN,,261769,OEM1,1695462,N
T10225,CASCO-C,SupplierY,PN-9952,Cover,CASCO,Active,2020-09-03,1,1,82497,HotRunner,1st Supplier,0,CN,,582492,OEM2,2026479,N
T10226,CASCO-C,SupplierZ,PN-2935,Cover,CASCO,Active,2023-06-06,6,6,127722,HotRunner,1st Supplier,0,CN,,82206,OEM1,2163355,N
T10227,CASCO-B,SupplierX,PN-4162,Panel,CASCO,Active,2022-03-04,1,1,104590,ValveGate,Transfert,387210,EU,2023-05-29,591055,OEM2,339240,N
T10228,CASCO-B,SupplierQ,PN-2468,Panel,CASCO,Inactive,2021-12-29,4,3,65332,HotRunner,1st Supplier,0,CN,,109327,OEM2,1759835,N
T10229,CASCO-C,SupplierQ,PN-4585,Cover,CASCO,Active,2019-12-20,6,5,109986,HotRunner,1st Supplier,0,CN,,187172,OEM2,540116,Y
T10230,CASCO-B,SupplierY,PN-6069,Clip,Supplier,Active,2021-07-15,6,5,46356,ValveGate,Transfert,90396,CN,2022-11-12,496452,OEM3,933449,N
T10231,CASCO-B,SupplierY,PN-8272,Panel,CASCO,Active,2023-09-10,4,2,10398,HotRunner,1st Supplier,0,CN,,445577,OEM2,2124742,N
T10232,CASCO-C,SupplierX,PN-4312,Clip,CASCO,Active,2019-02-09,8,7,79598,ColdRunner,Transfert,382825,EU,2020-06-10,582805,OEM2,851128,N
T10233,CASCO-B,SupplierZ,PN-7943,Bracket,CASCO,Active,2023-02-26,7,6,36896,HotRunner,1st Supplier,0,CN,,454990,OEM1,2052997,N
T10234,CASCO-C,SupplierX,PN-6634,Clip,Supplier,Active,2021-09-12,2,1,109546,ValveGate,1st Supplier,0,EU,,389464,OEM2,1318617,Y
T10235,CASCO-B,SupplierY,PN-3626,Bracket,CASCO,Active,2022-12-09,6,5,217063,ColdRunner,Transfert,71758,CN,2023-12-17,220965,OEM1,811809,N
T10236,CASCO-C,SupplierZ,PN-9208,Panel,CASCO,Active,2022-08-19,6,5,49016,ValveGate,1st Supplier,0,EU,,22733,OEM1,1035337,N
T10237,CASCO-A,SupplierW,PN-4907,Bracket,Supplier,Active,2021-05-14,3,3,10295,HotRunner,1st Supplier,0,CN,,91844,OEM2,1467693,Y
T10238,CASCO-A,SupplierZ,PN-2358,Panel,CASCO,Active,2020-09-09,6,6,36662,ColdRunner,Transfert,467701,EU,2021-08-01,192710,OEM1,1983323,N
T10239,CASCO-A,SupplierY,PN-9663,Bracket,Supplier,Active,2022-06-08,8,6,131960,ColdRunner,1st Supplier,0,CN,,43749,OEM2,1633234,N
T10240,CASCO-B,SupplierW,PN-9219,Housing,CASCO,Active,2019-10-08,7,6,75961,HotRunner,1st Supplier,0,CN,,314744,OEM1,2353092,N
T10241,CASCO-C,SupplierW,PN-1445,Cover,CASCO,Active,2022-03-14,7,6,127480,HotRunner,1st Supplier,0,EU,,470859,OEM3,2209025,N
T10242,CASCO-A,SupplierW,PN-9121,Panel,CASCO,Active,2019-07-09,6,6,17019,HotRunner,1st Supplier,0,EU,,578687,OEM3,1957377,N
T10243,CASCO-A,SupplierZ,PN-9525,Cover,CASCO,Active,2022-07-23,3,2,89942,ValveGate,1st Supplier,0,EU,,304025,OEM1,1626835,Y
T10244,CASCO-C,SupplierQ,PN-8460,Clip,Supplier,Active,2022-06-11,7,6,108432,ColdRunner,1st Supplier,0,CN,,527502,OEM2,937682,N
T10245,CASCO-C,SupplierY,PN-3294,Bracket,CASCO,Active,2019-06-18,3,2,113518,ColdRunner,Transfert,203645,EU,2020-11-17,591613,OEM2,1207657,N
T10246,CASCO-B,SupplierQ,PN-6680,Housing,Supplier,Active,2023-02-23,5,4,142277,,1st Supplier,0,EU,,518700,OEM2,561567,N
T10247,CASCO-B,SupplierY,PN-5843,Panel,CASCO,Active,2021-04-11,3,2,197339,ColdRunner,1st Supplier,0,EU,,289684,OEM2,1123204,Y
T10248,CASCO-B,SupplierY,PN-6580,Panel,CASCO,Active,2023-04-23,3,1,122135,ColdRunner,Transfert,551845,CN,2023-12-07,208651,OEM3,2338238,N
T10249,CASCO-A,SupplierZ,PN-6547,Cover,Supplier,Inactive,2019-03-25,2,1,211888,HotRunner,1st Supplier,0,EU,,587191,OEM2,1236940,N
